an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,Richesse foncière uniformisée (RFU),Évaluation imposable uniformisée autre,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables,Évaluation moyenne uniformisée des résidences d'un logement (incluant condominiums),Évaluation moyenne uniformisée par logement,RFU par unité d'évaluation imposable et compensable,Indice RFU par unité d'évaluation imposable et compensable,Nombre d'unité d'évaluation imposable et compensable,Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée résidentielle,Évaluation imposable uniformisée industrielle et commerciale,Évaluation imposable uniformisée agricole
2023,2023,67020,Candiac,V,23685,10 000 @ 24 999,AR670,Roussillon,16,Montérégie,CM663,Communauté métropolitaine de Montréal,5992260999.3,133489194.0,0.872,0.1024,0.0031,0.0225,617286.0,559513.0,732998.0,176.0,8175.0,5927038515.0,5168086572.0,607134888.0,18327861.0
2023,2023,67025,Delson,V,8468,2 000 @ 9 999,AR670,Roussillon,16,Montérégie,CM663,Communauté métropolitaine de Montréal,1714724667.64,37485532.0,0.7391,0.2387,,0.0222,421435.0,340873.0,590673.0,215.0,2903.0,1691884472.0,1250555268.0,403843672.0,
2023,2023,67030,Sainte-Catherine,V,17374,10 000 @ 24 999,AR670,Roussillon,16,Montérégie,CM663,Communauté métropolitaine de Montréal,2890532902.0,49589700.0,0.8785,0.1037,,0.0177,394657.0,343404.0,477301.0,114.0,6056.0,2795799000.0,2456172600.0,290036700.0,
2023,2023,67035,Saint-Constant,V,31000,25 000 @ 99 999,AR670,Roussillon,16,Montérégie,CM663,Communauté métropolitaine de Montréal,5290851450.0,84240000.0,0.8908,0.0617,0.0315,0.0161,451446.0,386445.0,507127.0,101.0,10433.0,5233401000.0,4661813900.0,322670800.0,164676300.0
2023,2023,67040,Saint-Isidore,P,2930,2 000 @ 9 999,AR670,Roussillon,16,Montérégie,CM663,Communauté métropolitaine de Montréal,682264881.612,5135880.0,0.5449,0.0623,0.3853,0.0075,388974.0,331295.0,522408.0,190.0,1306.0,682876680.0,372076320.0,42550560.0,263113920.0
2023,2023,67045,Mercier,V,15239,10 000 @ 24 999,AR670,Roussillon,16,Montérégie,CM663,Communauté métropolitaine de Montréal,2605992214.32,39113844.0,0.8696,0.063,0.0521,0.0152,445716.0,399351.0,460993.0,110.0,5653.0,2569587108.0,2234567280.0,161949480.0,133956504.0
2023,2023,67050,Châteauguay,V,51614,25 000 @ 99 999,AR670,Roussillon,16,Montérégie,CM663,Communauté métropolitaine de Montréal,8614111731.2,105044608.0,0.8574,0.1263,0.0035,0.0128,407282.0,340186.0,505523.0,100.0,17040.0,8207935744.0,7037346944.0,1036908672.0,28635520.0
2023,2023,67055,Léry,V,2451,2 000 @ 9 999,AR670,Roussillon,16,Montérégie,CM663,Communauté métropolitaine de Montréal,639670810.0,33635700.0,0.9148,0.0255,0.0071,0.0526,608676.0,539081.0,475592.0,173.0,1345.0,639349900.0,584890800.0,16281400.0,4542000.0
2023,2023,70022,Beauharnois,V,14412,10 000 @ 24 999,AR700,Beauharnois-Salaberry,16,Montérégie,CM663,Communauté métropolitaine de Montréal,2515195076.0,123249600.0,0.6972,0.186,0.0664,0.0504,344114.0,253521.0,452862.0,109.0,5554.0,2444933900.0,1704676100.0,454784200.0,162224000.0
2023,2023,71050,Les Cèdres,M,7195,2 000 @ 9 999,AR710,Vaudreuil-Soulanges,16,Montérégie,CM663,Communauté métropolitaine de Montréal,1506957012.0,18014800.0,0.7304,0.0845,0.173,0.012,425801.0,384378.0,454450.0,165.0,3316.0,1496927100.0,1093356600.0,126555400.0,259000300.0
