an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,Richesse foncière uniformisée (RFU),Évaluation imposable uniformisée agricole - agglomération,Évaluation imposable uniformisée autre,Évaluation imposable uniformisée autre - agglomération,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables - agglomération,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables - agglomération,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables - agglomération,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables,Richesse foncière uniformisée (RFU) - agglomération,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables - agglomération,Évaluation moyenne uniformisée des résidences d'un logement (incluant condominiums),Évaluation moyenne uniformisée par logement,RFU par unité d'évaluation imposable et compensable,RFU par unité d'évaluation imposable et compensable - agglomération,Indice RFU par unité d'évaluation imposable et compensable,Nombre d'unité d'évaluation imposable et compensable,Nombre d'unité d'évaluation imposable et compensable - agglomération,Évaluation uniformisée des immeubles imposables,Évaluation uniformisée des immeubles imposables - agglomération,Évaluation imposable uniformisée résidentielle,Évaluation imposable uniformisée résidentielle - agglomération,Évaluation imposable uniformisée industrielle et commerciale,Évaluation imposable uniformisée industrielle et commerciale - agglomération,Évaluation imposable uniformisée agricole
2023,2023,16013,Baie-Saint-Paul,V,7257,2 000 @ 9 999,AR160,Charlevoix,3,Capitale-Nationale,,,1478389733.64,,87071328.0,,0.7047,,0.1901,,0.035,,0.0703,,,277402.0,202463.0,300242.0,,109.0,4924.0,,1238740776.0,,872884404.0,,235440108.0,,43344936.0
2023,2023,16023,L'Isle-aux-Coudres,M,1098,1 @ 1 999,AR160,Charlevoix,3,Capitale-Nationale,,,187366727.4,,8929590.0,,0.7258,,0.1808,,0.0451,,0.0482,,,197134.0,174891.0,132790.0,,76.0,1411.0,,185074614.0,,134332572.0,,33459774.0,,8352678.0
2023,2023,16048,Les Éboulements,M,1463,1 @ 1 999,AR160,Charlevoix,3,Capitale-Nationale,,,385009810.32,,46430306.0,,0.6194,,0.1504,,0.1091,,0.1211,,,274210.0,229069.0,199280.0,,115.0,1932.0,,383347116.0,,237429386.0,,57674434.0,,41812990.0
2023,2023,16050,Saint-Hilarion,P,1159,1 @ 1 999,AR160,Charlevoix,3,Capitale-Nationale,,,137104719.84,,5340820.0,,0.6931,,0.0809,,0.1867,,0.0393,,,189947.0,155846.0,146636.0,,84.0,935.0,,135859752.0,,94165757.0,,10986317.0,,25366858.0
2023,2023,16055,Saint-Urbain,P,1373,1 @ 1 999,AR160,Charlevoix,3,Capitale-Nationale,,,172448420.0,,5509800.0,,0.6913,,0.1703,,0.1061,,0.0323,,,179706.0,142647.0,158210.0,,91.0,1090.0,,170530200.0,,117887200.0,,29047700.0,,18085500.0
2023,2023,17005,Saint-Omer,M,268,1 @ 1 999,AR170,L'Islet,12,Chaudière-Appalaches,,,46282752.0,,5121216.0,,0.5277,,0.2001,,0.1615,,0.1107,,,113427.0,110099.0,98057.0,,56.0,472.0,,46282752.0,,24422592.0,,9263232.0,,7475712.0
2023,2023,17010,Saint-Pamphile,V,2349,2 000 @ 9 999,AR170,L'Islet,12,Chaudière-Appalaches,,,216960975.0,,2368872.0,,0.5312,,0.3031,,0.1541,,0.0116,,,113934.0,97512.0,149835.0,,54.0,1448.0,,204045039.0,,108393714.0,,61843716.0,,31438737.0
2023,2023,17015,Saint-Adalbert,M,495,1 @ 1 999,AR170,L'Islet,12,Chaudière-Appalaches,,,64114418.0,,6675880.0,,0.3955,,0.1473,,0.3531,,0.1041,,,81473.0,75515.0,83810.0,,48.0,765.0,,64114418.0,,25356578.0,,9442586.0,,22639374.0
2023,2023,17020,Saint-Marcel,M,439,1 @ 1 999,AR170,L'Islet,12,Chaudière-Appalaches,,,60955516.24,,4904302.0,,0.5072,,0.1243,,0.2867,,0.0818,,,89676.0,101589.0,98954.0,,57.0,616.0,,59958476.0,,30411294.0,,7455086.0,,17187794.0
2023,2023,17025,Sainte-Félicité,M,368,1 @ 1 999,AR170,L'Islet,12,Chaudière-Appalaches,,,44008017.2,,5354622.0,,0.3975,,0.1447,,0.335,,0.1228,,,95202.0,94975.0,106300.0,,61.0,414.0,,43596574.0,,17328458.0,,6309436.0,,14604058.0
2023,2023,17030,Sainte-Perpétue,M,1633,1 @ 1 999,AR170,L'Islet,12,Chaudière-Appalaches,,,141046294.0,,3107600.0,,0.5722,,0.165,,0.2398,,0.023,,,99516.0,90543.0,109169.0,,63.0,1292.0,,134892300.0,,77183200.0,,22257300.0,,32344200.0
2023,2023,17035,Tourville,M,568,1 @ 1 999,AR170,L'Islet,12,Chaudière-Appalaches,,,44771888.0,,2779182.0,,0.6121,,0.1796,,0.1461,,0.0622,,,75094.0,79731.0,80380.0,,46.0,557.0,,44714068.0,,27368166.0,,8032570.0,,6534150.0
2023,2023,17040,Saint-Damase-de-L'Islet,M,548,1 @ 1 999,AR170,L'Islet,12,Chaudière-Appalaches,,,72469780.0,,7313080.0,,0.516,,0.1149,,0.2681,,0.101,,,112096.0,100009.0,83108.0,,48.0,872.0,,72425965.0,,37372585.0,,8319675.0,,19420625.0
2023,2023,17045,Saint-Cyrille-de-Lessard,P,761,1 @ 1 999,AR170,L'Islet,12,Chaudière-Appalaches,,,115437484.08,,12615054.0,,0.6484,,0.0958,,0.1457,,0.1101,,,134130.0,117012.0,88866.0,,51.0,1299.0,,114541002.0,,74269872.0,,10969488.0,,16686588.0
2023,2023,17055,Saint-Aubert,M,1456,1 @ 1 999,AR170,L'Islet,12,Chaudière-Appalaches,,,256959643.2,,11148280.0,,0.7909,,0.0261,,0.1395,,0.0435,,,192340.0,212112.0,174565.0,,100.0,1472.0,,256277424.0,,202691736.0,,6694896.0,,35742512.0
